circuitId,name,location,country,lat,lng,url
53,Rouen-Les-Essarts,Rouen,France,493.306,100.458,http://en.wikipedia.org/wiki/Rouen-Les-Essarts
54,Le Mans,Le Mans,France,47.95,0.224231,http://en.wikipedia.org/wiki/Circuit_de_la_Sarthe#Bugatti_Circuit
55,Reims-Gueux,Reims,France,492.542,393.083,http://en.wikipedia.org/wiki/Reims-Gueux
56,Prince George Circuit,Eastern Cape Province,South Africa,-330.486,278.736,http://en.wikipedia.org/wiki/Prince_George_Circuit
57,Zeltweg,Styria,Austria,472.039,147.478,http://en.wikipedia.org/wiki/Zeltweg_Airfield
58,Aintree,Liverpool,UK,534.769,-294.056,http://en.wikipedia.org/wiki/Aintree_Motor_Racing_Circuit
59,Circuito da Boavista,Oporto,Portugal,411.705,-867.325,http://en.wikipedia.org/wiki/Circuito_da_Boavista
60,Riverside International Raceway,California,USA,33.937,-117.273,http://en.wikipedia.org/wiki/Riverside_International_Raceway
61,AVUS,Berlin,Germany,524.806,132.514,http://en.wikipedia.org/wiki/AVUS
62,Monsanto Park Circuit,Lisbon,Portugal,387.197,-920.306,http://en.wikipedia.org/wiki/Monsanto_Park_Circuit
63,Sebring International Raceway,Florida,USA,274.547,-813.483,http://en.wikipedia.org/wiki/Sebring_Raceway
64,Ain Diab,Casablanca,Morocco,335.786,-76.875,http://en.wikipedia.org/wiki/Ain-Diab_Circuit
65,Pescara Circuit,Pescara,Italy,42.475,141.508,http://en.wikipedia.org/wiki/Pescara_Circuit
66,Circuit Bremgarten,Bern,Switzerland,469.589,740.194,http://en.wikipedia.org/wiki/Circuit_Bremgarten
67,Circuit de Pedralbes,Barcelona,Spain,413.903,211.667,http://en.wikipedia.org/wiki/Pedralbes_Circuit
68,Buddh International Circuit,Uttar Pradesh,India,283.487,775.331,http://en.wikipedia.org/wiki/Buddh_International_Circuit
69,Circuit of the Americas,Austin,USA,301.328,-976.411,http://en.wikipedia.org/wiki/Circuit_of_the_Americas
70,Red Bull Ring,Spielburg,Austria,472.197,147.647,http://en.wikipedia.org/wiki/Red_Bull_Ring
71,Sochi Autodrom,Sochi,Russia,434.057,399.578,http://en.wikipedia.org/wiki/Sochi_Autodrom
72,Port Imperial Street Circuit,New Jersey,USA,407.769,-740.111,http://en.wikipedia.org/wiki/Port_Imperial_Street_Circuit
73,Baku City Circuit,Baku,Azerbaijan,403.725,498.533,http://en.wikipedia.org/wiki/Baku_City_Circuit
